"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Tumor_AVG","Normal_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE"
"cg24290756",-0.310850684398093,0.596163468728604,-10.5935354425516,1.51227503008946e-12,3.5332712058414e-08,18.4390482634318,0.527085538862361,0.837936223260453,-0.310850684398093,"2",242811552,"F","II","C2orf85","TSS1500","shelf","TSS1500-shelf","chr2:242815056-242815599","rs111667098;rs140958454","47;50"
"cg04739200",0.230603573735386,0.855428070536341,10.5364629543132,1.75158102960165e-12,3.88251858034774e-08,18.2995689653592,0.906673309144205,0.676069735408819,0.230603573735385,"6",135517046,"F","II","MYB","Body","opensea","Body-opensea","","rs6927965","13"
"cg13997435",-0.371009105226207,0.426239836991392,-10.4998190828715,1.92526316771811e-12,4.13817588394957e-08,18.2097683476618,0.343793369163346,0.714802474389553,-0.371009105226207,"1",153538406,"R","II","S100A2","TSS200","opensea","TSS200-opensea","","rs188930519","1"
"cg23458172",-0.297533618793816,0.561317362905856,-10.4923711333071,1.96265915885567e-12,4.13817588394957e-08,18.1914925643288,0.495198780951675,0.792732399745491,-0.297533618793816,"2",197392301,"R","II","HECW2","5'UTR","opensea","5'UTR-opensea","","rs562127682","1"
"cg08972170",0.368191555000788,0.661938046044673,10.4415248589302,2.23854453090586e-12,4.50033868942805e-08,18.066512825262,0.743758391600404,0.375566836599616,0.368191555000788,"7",30185776,"R","II","C7orf41","Body","opensea","Body-opensea","","rs144442426","1"
"cg03149532",-0.338145536540683,0.528913964322256,-10.4176614158737,2.38135634740671e-12,4.67863999140292e-08,18.0077284549592,0.453770511757659,0.791916048298343,-0.338145536540683,"2",217523702,"F","II","IGFBP2","Body","opensea","Body-opensea","","rs7567238;rs142614893;rs146028825","33;41;42"
"cg12942621",-0.304173274559927,0.484783760036694,-10.36950869432,2.69847903417767e-12,5.07118125382486e-08,17.8888612618447,0.417189699023377,0.721362973583305,-0.304173274559927,"4",94105450,"F","II","GRID2","Body","opensea","Body-opensea","","rs558132996;rs549587691","0;43"
"cg01489225",-0.25577025590681,0.653349051951621,-10.3496022684527,2.8418614264462e-12,5.07719719702916e-08,17.8396238606929,0.596511217305664,0.852281473212473,-0.25577025590681,"2",128458328,"R","II","SFT2D3","TSS1500","shore","TSS1500-shore","chr2:128458844-128459937","rs537245288;rs373615059","41;26"
"cg19310904",0.242755654683854,0.807925367126747,10.3434737724092,2.88754930386165e-12,5.07719719702916e-08,17.8244538962963,0.861871068167603,0.61911541348375,0.242755654683854,"13",30940289,"F","II","LINC00426","Body","opensea","Body-opensea","","rs76441479","0"
"cg18854765",0.367313229462671,0.597836315299874,10.2896099284353,3.32275688888432e-12,5.35220083087398e-08,17.6908913093655,0.67946147740269,0.312148247940019,0.367313229462671,"1",74665362,"F","II","LRRIQ3","TSS1500","shore","TSS1500-shore","chr1:74663826-74664035","rs186399715;rs202113178;rs201158336;rs200157650;rs200281954","8;24;35;40;44"
"cg22022010",-0.234018458110887,0.537887007772208,-10.2756763949639,3.44585392656342e-12,5.35220083087398e-08,17.6562732668589,0.485882905969788,0.719901364080675,-0.234018458110887,"21",45844718,"F","II","TRPM2","ExonBnd","shore","ExonBnd-shore","chr21:45844992-45845693","rs572398660;rs145618288;rs9978351;rs564111374","1;16;33;38"
"cg10384075",-0.430742012439128,0.466216131130414,-10.2733175292142,3.46714904379054e-12,5.35220083087398e-08,17.6504098686018,0.370495683921719,0.801237696360847,-0.430742012439128,"2",216197810,"F","II","ATIC","Body","opensea","Body-opensea","","rs146593641;rs572284878","0;17"
"cg21215246",-0.332427916226238,0.585763697667558,-10.2063395112239,4.13120645904071e-12,5.86665325662284e-08,17.4835893288904,0.51189082739506,0.844318743621298,-0.332427916226237,"4",1171319,"F","II","SPON2","5'UTR","opensea","5'UTR-opensea","","rs61167830;rs547342229;rs573126491","1;20;21"
"cg10902033",-0.220653846415148,0.584818992680011,-10.1952856895226,4.25266678662089e-12,5.86665325662284e-08,17.4559957593156,0.535784804587756,0.756438651002904,-0.220653846415148,"5",471171,"F","II","LOC25845","Body","shore","Body-shore","chr5:472600-474261","",""
"cg23449199",-0.257159972330278,0.3862412277338,-10.1872426500998,4.3433264977901e-12,5.86665325662284e-08,17.4359069275886,0.32909456721596,0.586254539546238,-0.257159972330278,"7",92834750,"R","II","HEPACAM2","Body","opensea","Body-opensea","","rs560231896","2"
"cg02990598",-0.271418577858517,0.566305853017727,-10.1671104120248,4.57898721962041e-12,6.08981348584059e-08,17.3855824834621,0.505990613493612,0.777409191352128,-0.271418577858517,"19",1955419,"R","II","C19orf34","TSS1500","island","TSS1500-island","chr19:1955331-1955572","rs568298695","28"
"cg24867502",-0.284327884091215,0.54090234488375,-10.1213690976009,5.16406086825973e-12,6.61453432915488e-08,17.2710263346249,0.477718370641258,0.762046254732474,-0.284327884091216,"4",3486234,"R","I","DOK7","TSS200","island","TSS200-island","chr4:3485963-3486381","rs113371008;rs2006171;rs370902638;rs569263972;rs528868735;rs183636629","37;33;32;27;16;1"
"cg20531580",-0.224630742986663,0.510618318823077,-10.1129637726137,5.27959305179945e-12,6.61453432915488e-08,17.2499429954666,0.460700375937152,0.685331118923815,-0.224630742986663,"20",48886280,"R","II","LINC01272","5'UTR","opensea","5'UTR-opensea","","rs116554526","2"
"cg25118718",0.342052735178518,0.788054312644611,10.0704622919613,5.90541152754998e-12,7.07453453838269e-08,17.1431795434891,0.864066031573171,0.522013296394653,0.342052735178518,"2",113987248,"F","II","PAX8","Body","opensea","Body-opensea","","rs190707080;rs555617932","1;45"
"cg26424188",-0.338266845758586,0.403007542796803,-10.0660794881722,5.97410449111864e-12,7.07453453838269e-08,17.1321551861338,0.327837132628229,0.666103978386814,-0.338266845758586,"21",45754272,"F","II","C21orf2","Body","island","Body-island","chr21:45753638-45754440","rs544609532","48"
"cg04352288",-0.363378883203577,0.478610560279391,-10.0468368813759,6.28546680272189e-12,7.15839521751979e-08,17.0837202815517,0.397859697345263,0.761238580548839,-0.363378883203577,"16",87958407,"R","I","CA5A","Body","opensea","Body-opensea","","rs571167697;rs113904153;rs77153199;rs575678175;rs536735414","25;22;20;12;1"
"cg06300222",0.42251348693584,0.754421922491239,10.0398635315896,6.40234072587842e-12,7.15839521751979e-08,17.0661547545816,0.848313808476982,0.425800321541142,0.42251348693584,"6",38121432,"R","II","ZFAND3","3'UTR","opensea","3'UTR-opensea","","rs144589771;rs11544072;rs546351464;rs187886780","42;37;2;1"
"cg02833725",-0.301405604921875,0.552199692756706,-10.0314308182724,6.54663599618932e-12,7.16372687731873e-08,17.0449038198072,0.485220669440733,0.786626274362608,-0.301405604921874,"1",156696768,"R","II","ISG20L2","1stExon","shore","1stExon-shore","chr1:156698111-156698916","rs201488743","49"
"cg05163933",-0.231427418906271,0.579409818013111,-10.0237030253213,6.68177753655392e-12,7.22021187489328e-08,17.0254203457792,0.527981502700607,0.759408921606878,-0.231427418906271,"5",1089800,"R","II","SLC12A7","Body","shore","Body-shore","chr5:1087533-1087909","rs549082796;rs560904186;rs538026409;rs550449734","47;46;30;2"
"cg11429271",-0.279078500424186,0.306130163302412,-10.0035416736145,7.04789180431882e-12,7.52180597100281e-08,16.9745486944318,0.244112718763704,0.52319121918789,-0.279078500424186,"15",45722346,"R","I","C15orf48","TSS1500","shore","TSS1500-shore","chr15:45722561-45722939","",""
"cg11198334",-0.27861342935846,0.637328875515772,-9.86834000304877,1.00928567156254e-11,1.00286568661263e-07,16.6318949591205,0.575414780102781,0.854028209461241,-0.27861342935846,"14",75040680,"R","II","LTBP2","Body","opensea","Body-opensea","","rs75244433","47"
"cg10208942",-0.285329706739981,0.517690374131038,-9.84710539254256,1.06807664065295e-11,1.02590660137633e-07,16.5778396766349,0.454283772633265,0.739613479373246,-0.285329706739981,"17",80192754,"F","II","SLC16A3","5'UTR","shore","5'UTR-shore","chr17:80194424-80194777","rs540685099;rs4077540;rs532690440","13;24;34"
"cg08958747",-0.335348023662389,0.511595775411019,-9.83325211196436,1.10830018480199e-11,1.03915699021221e-07,16.5425395985136,0.437073992374933,0.772422016037322,-0.335348023662389,"16",2203176,"R","II","RAB26","Body","shelf","Body-shelf","chr16:2205207-2205902","rs150247045;rs192091078","25;2"
"cg01229230",-0.300233092906859,0.624663127111219,-9.7269418961067,1.47307765497817e-11,1.2606816874711e-07,16.270730906931,0.557944662020805,0.858177754927665,-0.300233092906859,"1",45130290,"R","II","TMEM53","Body","opensea","Body-opensea","","",""
"cg08782899",-0.295361535809184,0.561517267249764,-9.72423808892965,1.48380464523661e-11,1.2606816874711e-07,16.2637968405756,0.495881370403279,0.791242906212463,-0.295361535809184,"17",79652389,"R","I","ARL16","TSS1500","shore","TSS1500-shore","chr17:79650194-79651447","rs550622357;rs568917019;rs530083374;rs548168268;rs565372015","48;24;15;2;1"
"cg08087541",-0.235585518845542,0.626237216588759,-9.71789502623052,1.50928312229745e-11,1.2606816874711e-07,16.247525592191,0.573884879067527,0.80947039791307,-0.235585518845542,"11",837257,"F","II","CD151","Body","shelf","Body-shelf","chr11:829284-833558","rs34215390;rs559057238;rs111956783;rs569327790;rs143725953","0;20;24;38;47"
"cg00842549",-0.345442463904257,0.342758654130248,-9.71607657799108,1.51666919805978e-11,1.2606816874711e-07,16.2428598401985,0.265993662151525,0.611436126055782,-0.345442463904258,"17",46651920,"F","II","HOXB3","TSS200","shelf","TSS200-shelf","chr17:46654053-46654369","rs140345478;rs574636690","26;44"
"cg20707774",-0.336557845304976,0.605853426925547,-9.66827437016329,1.72461119975529e-11,1.34963808260229e-07,16.1200399221066,0.531062794635553,0.867620639940528,-0.336557845304976,"1",203149828,"F","II","CHI3L1","Body","opensea","Body-opensea","","rs532425971;rs552471695","1;39"
"cg09603514",-0.336366363420222,0.532689103370864,-9.66452287009018,1.74211117318676e-11,1.34963808260229e-07,16.1103872364679,0.457941022610815,0.794307386031037,-0.336366363420222,"1",175052941,"F","II","TNN","Body","opensea","Body-opensea","","rs78621546;rs111785664;rs141604924","1;12;46"
"cg06939451",0.419769253665953,0.632453465210919,9.65804823003825,1.77274041039314e-11,1.34963808260229e-07,16.093723126889,0.725735521581131,0.305966267915178,0.419769253665953,"5",81043172,"R","II","SSBP2","Body","shelf","Body-shelf","chr5:81045904-81047849","rs556232289;rs116754553","36;1"
"cg08522734",0.330281473124658,0.779574900301271,9.60941794312473,2.02103080087049e-11,1.48060373924179e-07,15.9683695718417,0.852970783217862,0.522689310093203,0.330281473124658,"1",45150076,"R","II","C1orf228","5'UTR","opensea","5'UTR-opensea","","rs548283804","2"
"cg07906004",-0.260299814316217,0.658641370845623,-9.59279489513595,2.11379535860696e-11,1.5250416340805e-07,15.9254432055424,0.600796967664242,0.861096781980458,-0.260299814316217,"6",157982346,"R","II","ZDHHC14","Body","opensea","Body-opensea","","rs536722811;rs186946398","24;1"
"cg00874173",-0.324636219217304,0.468472299526966,-9.59223895756518,2.11697158812099e-11,1.5250416340805e-07,15.9240069046569,0.396330917478676,0.72096713669598,-0.324636219217304,"7",104660700,"F","II","KMT2E","5'UTR","opensea","5'UTR-opensea","","",""
"cg22431967",-0.204614628518441,0.600250097973368,-9.57222884709411,2.23458872788534e-11,1.58338195019683e-07,15.8722801535646,0.554780180524826,0.759394809043267,-0.204614628518441,"7",150878243,"F","II","ASB10","Body","opensea","Body-opensea","","rs149064245;rs2253592;rs574153932","1;17;34"
"cg10015165",-0.333029861745863,0.534268918073252,-9.55880719079269,2.3171869152203e-11,1.61285073252026e-07,15.8375527923716,0.460262282129727,0.79329214387559,-0.333029861745863,"7",30887816,"F","II","FAM188B","Body","opensea","Body-opensea","","rs568919862","13"
"cg17808676",0.214452842760408,0.79855115744508,9.55642814342359,2.33214888225832e-11,1.61285073252026e-07,15.8313945385256,0.846207344725171,0.631754501964763,0.214452842760407,"2",182332122,"F","II","ITGA4","Body","opensea","Body-opensea","","rs556939788;rs155147;rs79917792","7;24;41"
"cg11326860",-0.312348095194938,0.42133452920671,-9.55300017042137,2.35388070204183e-11,1.61496018648515e-07,15.8225196838219,0.351923841385613,0.664271936580551,-0.312348095194938,"1",201739359,"F","II","RNU6-79P","Body","opensea","Body-opensea","","rs140408579","1"
"cg03984560",-0.363132678122032,0.463271193916322,-9.54430680846413,2.40992154960609e-11,1.64038995456833e-07,15.8000054929494,0.382575043222537,0.745707721344569,-0.363132678122032,"7",135396495,"R","II","SLC13A4","Body","opensea","Body-opensea","","rs536959016;rs557190722","21;20"
"cg07507801",-0.223024947446757,0.639184682887152,-9.52854357061311,2.51502555502729e-11,1.66538989954823e-07,15.7591542035114,0.589623583454539,0.812648530901297,-0.223024947446757,"5",1291235,"F","II","TERT","Body","island","Body-island","chr5:1289275-1295970","rs537195291;rs112278640;rs558687364;rs576970371","9;24;25;32"
"cg04891918",-0.288817394183735,0.571545434318339,-9.52551298216527,2.5357612005328e-11,1.66538989954823e-07,15.7512962165579,0.507363791166399,0.796181185350133,-0.288817394183735,"22",38744315,"F","II","LOC400927-CSNK1E","5'UTR","opensea","5'UTR-opensea","","rs200027296;rs549549790","0;51"
"cg20944195",-0.233255118173655,0.345575359393243,-9.52446469699578,2.5429741220634e-11,1.66538989954823e-07,15.7485778227626,0.293740888687986,0.526996006861641,-0.233255118173655,"8",25800212,"R","II","EBF2","Body","opensea","Body-opensea","","",""
"cg14955070",-0.413916340496417,0.527506691993772,-9.50084457512749,2.71115143348979e-11,1.7360727667431e-07,15.6872851294618,0.435525282994568,0.849441623490985,-0.413916340496417,"1",156135027,"R","II","SEMA4A","Body","opensea","Body-opensea","","rs73006739","2"
"cg08262724",-0.262271169299596,0.509234425644653,-9.49344259863678,2.7661505297408e-11,1.75826697341391e-07,15.668061157624,0.450951943578076,0.713223112877671,-0.262271169299595,"1",216061673,"F","II","USH2A","Body","opensea","Body-opensea","","",""
"cg14101500",-0.239441823599327,0.591284610951122,-9.47605439698586,2.8998607824874e-11,1.77815955577168e-07,15.6228709394623,0.538075316817938,0.777517140417264,-0.239441823599326,"11",2925594,"R","II","SLC22A18","Body","shore","Body-shore","chr11:2923301-2923817","rs438263;rs545173481;rs559972483","22;9;1"
"cg16718581",-0.341752283522434,0.559485009832976,-9.45617970833509,3.06077225589893e-11,1.83921025161478e-07,15.5711660132716,0.483540057939102,0.825292341461536,-0.341752283522434,"12",133336998,"R","II","ANKLE2","Body","shore","Body-shore","chr12:133337981-133338989","rs577797354;rs112432629","50;16"
"cg23900712",0.266759722835154,0.604305628370464,9.45582826152289,3.06369800816374e-11,1.83921025161478e-07,15.5702512036814,0.663585566778276,0.396825843943122,0.266759722835154,"15",99344807,"R","II","IGF1R","Body","opensea","Body-opensea","","rs568544055;rs143946236","12;8"
"cg03377767",-0.324192795195639,0.569199159181859,-9.44437139993195,3.16064986619913e-11,1.85869003213176e-07,15.5404196084759,0.497156315805051,0.82134911100069,-0.324192795195639,"2",17997138,"F","II","MSGN1","TSS1500","opensea","TSS1500-opensea","","rs113919639;rs112717786","21;28"
"cg12274898",-0.327815751423601,0.560471620772099,-9.43478238627508,3.24419233692416e-11,1.88658985509812e-07,15.5154372422938,0.487623676011299,0.815439427434899,-0.327815751423601,"1",153586108,"F","II","S100A16","TSS1500","opensea","TSS1500-opensea","","rs530373999;rs528968369","36;42"
"cg05860566",-0.255142045709648,0.473223485550049,-9.43392844543475,3.25174024669125e-11,1.88658985509812e-07,15.5132118284128,0.416525253170128,0.671667298879775,-0.255142045709648,"16",19017211,"F","II","TMC7","5'UTR","opensea","5'UTR-opensea","","rs572055610;rs536536845","1;38"
"cg08565197",-0.333186252801792,0.502711115205887,-9.41378690068136,3.43504597281482e-11,1.94682699540096e-07,15.4606919613334,0.428669725694377,0.76185597849617,-0.333186252801792,"2",240196284,"R","II","HDAC4","Body","shore","Body-shore","chr2:240196768-240196997","rs186958461","50"
"cg20631351",-0.235465715830506,0.657935838945434,-9.40901423281196,3.48000141106559e-11,1.94682699540096e-07,15.4482386209855,0.605610124316433,0.841075840146939,-0.235465715830506,"19",711001,"F","II","PALM","Body","island","Body-island","chr19:710822-711066","rs181115378;rs538914692","21;28"
"cg07510346",-0.292698899525649,0.52827957956654,-9.40788883500886,3.49068886789242e-11,1.94682699540096e-07,15.4453016462806,0.463235379671951,0.7559342791976,-0.292698899525649,"8",2035751,"F","II","MYOM2","Body","shore","Body-shore","chr8:2037706-2037986","rs550258803","30"
"cg08265926",-0.265348225082715,0.472575603968946,-9.4023704769271,3.54357990434996e-11,1.96365663179089e-07,15.4308976738961,0.413609331728343,0.678957556811057,-0.265348225082714,"16",81039227,"R","II","CENPN","TSS1500","shore","TSS1500-shore","chr16:81040134-81041325","rs2549875;rs140209849","34;33"
"cg20995327",-0.364840342023881,0.510940788738707,-9.39769605963654,3.58901966409185e-11,1.96366169173343e-07,15.4186931765122,0.429865157177845,0.794705499201726,-0.364840342023882,"14",99684844,"R","II","BCL11B","Body","opensea","Body-opensea","","rs192400137","51"
"cg22866430",0.300825774527789,0.712664910396667,9.3801492174888,3.76494704079675e-11,2.02271328693438e-07,15.3728523102717,0.779515082513954,0.478689307986165,0.300825774527789,"1",12566378,"F","II","SNORA59A","TSS1500","opensea","TSS1500-opensea","","rs114475846;rs546622534;rs78425617","1;24;48"
"cg05075579",-0.238687575187061,0.584402063934256,-9.37559915194915,3.81198285118688e-11,2.03415405397168e-07,15.3609582206993,0.531360380559354,0.770047955746415,-0.238687575187061,"11",121421206,"F","II","SORL1","Body","opensea","Body-opensea","","rs565930020","1"
"cg07435386",-0.348882991850765,0.354879988917377,-9.37303446830726,3.83875800987838e-11,2.03587471274081e-07,15.3542527246608,0.277350435172763,0.626233427023527,-0.348882991850765,"1",205325951,"F","II","KLHDC8A","1stExon","opensea","1stExon-opensea","","rs565031541","26"
"cg10075819",-0.357718455250942,0.476002306856942,-9.36835286719001,3.88812812256368e-11,2.04948449121959e-07,15.3420100421901,0.396509316801177,0.754227772052119,-0.357718455250942,"2",109229337,"F","II","LIMS1","5'UTR","opensea","5'UTR-opensea","","rs568362040","12"
"cg09796739",-0.31019378446159,0.60188125312438,-9.34385248765324,4.1572368068122e-11,2.13191962713073e-07,15.2778894917805,0.532949301021804,0.843143085483395,-0.31019378446159,"1",227924055,"F","II","JMJD4","TSS1500","shore","TSS1500-shore","chr1:227922643-227923431","rs75697236;rs80030522","1;44"
"cg13494769",-0.340158379625531,0.622263973038723,-9.32695690977588,4.35378721543337e-11,2.20099474793966e-07,15.233622279925,0.546673222010828,0.886831601636358,-0.340158379625531,"1",243509235,"F","II","MIR4677","TSS1500","opensea","TSS1500-opensea","","rs192457070;rs570155170","0;1"
"cg08573102",-0.303642931039144,0.51773958953871,-9.31611943974783,4.48481407546958e-11,2.24668226782277e-07,15.2052063959372,0.450263382641123,0.753906313680267,-0.303642931039144,"15",42386780,"R","II","PLA2G4D","TSS200","opensea","TSS200-opensea","","",""
"cg01613691",-0.289717932206137,0.539716639964998,-9.31519780802474,4.49614018750697e-11,2.24668226782277e-07,15.2027891102549,0.475334877252523,0.76505280945866,-0.289717932206137,"19",1105380,"F","II","GPX4","Body","island","Body-island","chr19:1103722-1105758","rs201903291;rs200071465;rs556598510","5;30;31"
"cg13263474",-0.260804178170342,0.678978040910334,-9.31099884105323,4.54811153164544e-11,2.25959068006632e-07,15.1917744074469,0.621021556872481,0.881825735042822,-0.260804178170341,"2",101593718,"R","II","LOC101927142","TSS200","opensea","TSS200-opensea","","",""
"cg06346837",-0.220019767152317,0.64209811777267,-9.29646886589344,4.73271488655618e-11,2.3114526028936e-07,15.1536402957824,0.593204836183266,0.813224603335583,-0.220019767152317,"3",13097096,"R","II","IQSEC1","Body","opensea","Body-opensea","","rs117025251;rs56120972;rs360889;rs113180602;rs533978282;rs138374422;rs142954112","49;42;41;13;4;2;1"
"cg05594122",-0.325141553812259,0.388560475312689,-9.28912322276224,4.82892408948139e-11,2.33208977203219e-07,15.1343502404326,0.316306796687743,0.641448350500002,-0.325141553812259,"1",238648531,"R","II","LINC01139","Body","opensea","Body-opensea","","",""
"cg20547005",-0.335377481499679,0.467983638334439,-9.28304747309998,4.9100028734682e-11,2.35807252445309e-07,15.1183892531162,0.393455309112288,0.728832790611966,-0.335377481499679,"16",18799132,"R","II","RPS15A","Body","shelf","Body-shelf","chr16:18801251-18801866","rs77223103;rs536183789","6;2"
"cg05320671",-0.320039682730927,0.576678617979805,-9.27830783113606,4.97421223870649e-11,2.36265788854156e-07,15.1059346115245,0.505558688484043,0.82559837121497,-0.320039682730927,"1",15653447,"F","II","FHAD1","Body","opensea","Body-opensea","","rs138642599","1"
"cg14267923",-0.3300855610445,0.399682664095703,-9.27097333514033,5.07526287562997e-11,2.39111793222353e-07,15.0866550857382,0.326330317196925,0.656415878241425,-0.3300855610445,"19",5983451,"R","II","LOC100128568","Body","opensea","Body-opensea","","rs117735341;rs144928818","39;13"
"cg06871732",0.296002432527431,0.729267712049261,9.267979319773,5.1171106493645e-11,2.39111793222353e-07,15.0787828134353,0.79504603038869,0.499043597861259,0.296002432527431,"11",46681642,"F","II","ATG13","Body","opensea","Body-opensea","","rs193291755;rs551264337;rs544915809;rs534361779;rs561405519","1;7;10;33;34"
"cg11404574",-0.342774386167538,0.521902637939298,-9.24642544842566,5.42891580903441e-11,2.49633677328337e-07,15.0220732495213,0.44573055212429,0.788504938291828,-0.342774386167538,"1",203737558,"F","II","LAX1","TSS1500","opensea","TSS1500-opensea","","rs146891092","0"
"cg18445088",0.250643121827281,0.358287816076702,9.21464319786302,5.92432886239201e-11,2.64587933129259e-07,14.9383331459717,0.413986287593875,0.163343165766595,0.250643121827281,"22",40081812,"F","I","CACNA1I","Body","island","Body-island","chr22:40081519-40082390","",""
"cg25020666",0.292287077289226,0.713887575354928,9.21405434864106,5.9339293330847e-11,2.64587933129259e-07,14.9367803044803,0.778840259196979,0.486553181907753,0.292287077289226,"7",75957850,"F","I","YWHAG","3'UTR","shore","3'UTR-shore","chr7:75958865-75959074","rs576279340;rs79961113;rs150588235","0;27;40"
"cg22401657",-0.369468899687863,0.533614836656144,-9.20418197011853,6.09726371211114e-11,2.66205917785549e-07,14.9107388297113,0.451510636725507,0.82097953641337,-0.369468899687863,"5",156536396,"R","II","HAVCR2","TSS200","opensea","TSS200-opensea","","rs549434856","39"
"cg01192965",-0.290362291574393,0.434801720432522,-9.19255917915781,6.29543054100505e-11,2.70755505376143e-07,14.8800625904866,0.370276766749324,0.660639058323716,-0.290362291574393,"10",131906435,"R","II","CTAGE7P","Body","shelf","Body-shelf","chr10:131908731-131909886","rs546636759;rs560542485;rs532631720;rs552485158;rs569085882;rs538095331;rs550639621;rs567207459","43;41;38;34;33;19;17;4"
"cg14113486",-0.233659710853616,0.45448432903922,-9.1872328658772,6.38841997956348e-11,2.71823233089896e-07,14.8659984344646,0.402559948849528,0.636219659703143,-0.233659710853616,"1",143745684,"R","II","LINC01138","TSS1500","shore","TSS1500-shore","chr1:143743395-143744949","rs587699020","27"
"cg08901339",-0.317316810803203,0.501143659099448,-9.18117068180334,6.49595784345826e-11,2.71823233089896e-07,14.8499863750577,0.430628812254292,0.747945623057495,-0.317316810803203,"10",98031261,"F","II","BLNK","5'UTR","opensea","5'UTR-opensea","","rs140384093;rs543537152","0;16"
"cg05514853",0.250996038599743,0.727530466592797,9.16805150106935,6.73502761662478e-11,2.76247129826411e-07,14.8153170482411,0.783307364059406,0.532311325459664,0.250996038599743,"5",58400401,"F","II","PDE4D","Body","opensea","Body-opensea","","rs142382944;rs549127883;rs567355098","0;1;31"
